#{"t_start": 1773758365.9298766, "env_id": "None"}
r,l,t
49.884469,2,0.603111
47.122033,39,1.849733
49.66465,5,2.033735
13.729531,267,10.472859
48.296519,27,11.325126
49.092952,15,11.796967
-67.598039,500,26.48384
49.558292,7,26.720819
49.953874,1,26.778487
49.953161,1,26.834928
