#{"t_start": 1773758274.8116035, "env_id": "None"}
r,l,t
49.890304,2,0.532369
49.839439,3,0.655946
49.773991,4,0.839344
46.435212,53,2.511086
49.957897,1,2.573112
49.19025,12,2.973186
46.935432,45,4.376624
49.953438,1,4.437454
49.955108,1,4.496446
48.939624,15,4.979726
