#{"t_start": 1773757913.3846612, "env_id": "None"}
r,l,t
49.638351,7,1.041987
49.893771,2,1.140389
49.962112,1,1.205522
47.866615,30,2.280921
49.951127,1,2.34647
49.34151,10,2.722558
48.73813,17,3.324887
49.911167,2,3.432699
49.954396,1,3.508431
49.898739,2,3.609822
