#{"t_start": 1773758475.828845, "env_id": "None"}
r,l,t
49.972523,1,0.366046
41.217002,74,3.157618
49.955833,1,3.218327
49.961809,1,3.27912
49.187039,14,3.76278
49.960365,1,3.830948
49.843114,3,3.96922
49.953726,1,4.035547
49.950048,1,4.097796
44.691969,66,6.309348
