#{"t_start": 1773758510.3647175, "env_id": "None"}
r,l,t
38.599002,102,3.89704
49.536354,9,4.209586
49.366508,9,4.524785
48.57759,21,5.21891
49.965154,1,5.283217
49.95127,1,5.344912
49.956966,1,5.408363
49.425982,9,5.716549
48.773569,18,6.318854
47.983781,28,7.237208
