#{"t_start": 1773758649.8605702, "env_id": "None"}
r,l,t
49.150655,15,1.096874
49.586369,8,1.395756
49.693796,5,1.585075
48.928293,18,2.1967
49.898022,2,2.28809
49.961579,1,2.348778
49.950179,1,2.40882
49.398213,11,2.801255
47.368293,39,4.086532
49.953712,1,4.148057
