#{"t_start": 1773758031.5376472, "env_id": "None"}
r,l,t
49.959164,1,0.369653
48.068241,28,1.501947
47.859395,34,2.631346
49.835243,3,2.757065
49.950657,1,2.819888
48.061593,33,3.951216
45.960925,57,5.840399
-21.097587,424,18.814151
47.583803,34,19.872706
48.973617,15,20.36513
