#{"t_start": 1773758459.0616994, "env_id": "None"}
r,l,t
49.444835,10,1.036611
49.950155,1,1.102187
49.625432,7,1.366673
49.957107,1,1.436797
49.95373,1,1.503078
49.835666,3,1.635468
48.472581,23,2.457693
44.720093,69,4.678155
49.899599,2,4.769346
49.965719,1,4.829637
