#{"t_start": 1773758649.8638654, "env_id": "None"}
r,l,t
49.407108,10,0.934454
49.961926,1,0.997443
49.365006,11,1.371242
49.17073,15,1.879189
46.604815,50,3.531819
49.953438,1,3.594485
49.956236,1,3.655175
49.536531,8,3.946138
49.895835,2,4.037582
49.573565,7,4.281032
