#{"t_start": 1773758785.6482599, "env_id": "None"}
r,l,t
49.966887,1,0.365469
49.952256,1,0.613597
34.413538,136,5.032166
49.96248,1,5.096048
40.567516,85,7.871775
49.954272,1,7.934337
48.822376,17,8.514156
49.834737,3,8.652376
49.956343,1,8.713318
49.96052,1,8.772912
