#{"t_start": 1773758734.8689203, "env_id": "None"}
r,l,t
49.73649,4,0.791513
49.295323,12,1.22664
49.953576,1,1.28749
-75.750624,500,17.108141
49.846868,3,17.232372
48.956125,17,17.797623
49.899715,2,17.889314
49.165584,13,18.320539
-88.697846,500,33.737162
48.555991,24,34.53091
