#{"t_start": 1773758668.0338745, "env_id": "None"}
r,l,t
46.180247,42,2.149235
49.955353,1,2.212873
49.901422,2,2.306897
49.892914,2,2.403205
49.96104,1,2.464542
47.34278,40,3.867476
49.969532,1,3.929451
49.950015,1,3.989486
49.850162,3,4.117139
49.90235,2,4.211774
