#{"t_start": 1773758254.2925112, "env_id": "None"}
r,l,t
49.966808,1,0.363187
49.893771,2,0.589775
49.954963,1,0.655659
49.964115,1,0.716114
46.372926,53,2.501136
49.593784,7,2.764429
49.232667,12,3.189968
47.497989,38,4.492297
46.264936,51,6.165372
49.565093,8,6.448251
