#{"t_start": 1772822864.4179494, "env_id": "None"}
r,l,t
-4532.248409,10000,1849.473949
-3172.367925,10000,3811.420918
-4828.537751,10000,5780.130636
-3289.866158,10000,7746.49528
-3295.01485,10000,9716.17671
